"id","name","articulation_id","axis_id","objective_id","will_be_delivered","total_cost","schedule_2013_2014","schedule_2015_2016","observation","technically","status","qualitative_progress_1","qualitative_progress_2","qualitative_progress_3","qualitative_progress_4","qualitative_progress_5","qualitative_progress_6"
1,"Inserir aproximadamente 280 mil famílias com renda de até meio salário mínimo no Cadastro Único para atingir 773 mil famílias cadastradas",6,1,1,"280 mil famílias inscritas no Cadastro Único",103305927,"228.000 famílias cadastradas","52.000 famílias cadastradas","Prioridade para implementação das ações nas Subprefeituras com maior concentração de famílias em situação de extrema pobreza e pobreza. Busca Ativa apoiada pelas áreas de interface e sociedade civil. Disponibilização de espaços públicos e equipamentos municipais para ações cadastrais.","Cadastro Único para Programas Sociais do Governo Federal (Cadastro Único): é um instrumento que identifica e caracteriza as famílias de baixa renda (renda mensal de até meio salário mínimo por pessoa ou renda mensal total de até três salários mínimos). Ele é utilizado por mais de 15 programas sociais do Governo Federal, como o Bolsa Família, Minha Casa Minha Vida, PRONATEC, Tarifa Social de Energia Elétrica, Brasil Carinhoso, etc. Busca Ativa: estratégia do Plano Brasil Sem Miséria que tem como objetivo levar o Estado ao cidadão, sem esperar que as pessoas mais pobres cheguem até o poder público. Um dos grandes desafios do Brasil Sem Miséria é alcançar aqueles que não acessam os serviços públicos e vivem fora de qualquer rede de proteção social.",,,,,,,
2,"Beneficiar 228 mil novas famílias com o Programa Bolsa Família",6,1,1,"Pagamento dos benefícios do Programa Bolsa Família viabilizado",,"171.000 Famílias beneficiadas","57.000 Famílias beneficiadas","A Secretaria Municipal de Assistência e Desenvolvimento Social faz toda a mobilização necessária e executa o cadastramento que viabiliza o pagamento dos benefícios do Programa Bolsa Família (articulação com outras Secretarias e agentes, capacitações, divulgações etc).","Programa Bolsa Família: O Programa Bolsa Família (PBF) é um programa de transferência direta de renda que beneficia famílias em situação de pobreza e de extrema pobreza em todo o País. O Bolsa Família integra o Plano Brasil Sem Miséria (BSM). Linha da extrema Pobreza: renda familiar per capita inferior a R$ 70 mensais. Linha da pobreza: renda familiar per capita entre R$ 70 e R$ 140 mensais.",,,,,,,
3,"Implantar 60 Centros de Referência de Assistência Social - CRAS",6,1,1,"60 CRAS em funcionamento",14532500,"25 CRAS","35 CRAS","Os CRAS serão construídos ou adaptados em imóveis alugados ou cedidos. Eles serão dotados de estrutura física com garantia de acessibilidade, estrutura administrativa e recursos humanos, e cada unidade terá a capacidade de referenciar até 5 mil famílias.","Centro de Referência de Assistência Social - CRAS: unidade estatal de proteção social básica do Sistema Único de Assistência Social - SUAS, que tem o objetivo de assegurar a proteção integral à famílias em situação de vulnerabilidade social.",,,,,,,
4,"Implantar 7 Centros de Referência Especializada de Assistência Social - CREAS",6,1,1,"7 CREAS em funcionamento",2184500,"4 CREAS","3 CREAS","A definição da meta - 7 unidades - responde à diretriz de garantir um equipamento em cada subprefeitura da cidade. Os CREAS serão construidos ou adaptados em imóveis alugados ou cedidos. Eles terão estrutura física adequada para acolher e garantir o atendimento e condições de privacidade, sigilo e dignidade (recepção, sala de atendimento individual e em grupo, sala para administração, banheiros, copa, espaço externo, almoxarifado). A capacidade de atendimento será de aproximadamente 80 famílias/indivíduos mês por unidade.","Centro de Referência Especializado de Assistência Social - CREAS: unidade pública e estatal, que oferta serviços especializados e continuados a famílias e indivíduos em situação de ameaça ou violação de direitos (violência física, psicológica, sexual, tráfico de pessoas, cumprimento de medidas socioeducativas em meio aberto, dentre outros).",,,,,,,
5,"Garantir 100 mil vagas do Programa Nacional de Acesso ao Ensino Técnico e Emprego (PRONATEC)",6,1,1,"100 mil vagas pactuadas com o Governo Federal",,"40.000 vagas","60.000 vagas","Publico-alvo: Beneficiários dos programas de transferência de renda, alunos de Educação de Jovens e Adultos (EJA) inscritos no Cadastro Único e beneficiários do Seguro Desemprego. Um Grupo de Trabalho intersecretarial definirá diretrizes de execução levando em conta as necessidades específicas de populações mais vulneráveis como: juventude (observando os critérios de territórios prioritários do Plano Juventude Viva, descrito em meta específica sobre o tema), mulheres vítimas de violência, negros, índios, transsexuais, população de rua e pessoas com deficiência. O planejamento já prevê 4.000 vagas para famílias em situação de rua, conforme explicado em meta específica sobre o tema.","PRONATEC: Programa Nacional de Acesso ao Ensino Técnico e Emprego criado pelo Governo Federal, em 2011, com o objetivo de ampliar a oferta de cursos de educação profissional e tecnológica.",,,,,,,
6,"Formalizar aproximadamente 22.500 microempreendedores individuais",6,1,1,"22.500 microempreendedores individuais formalizados",8721206,"10.450 microempreendedores individuais","12.050 microempreendedores individuais","O Centro de Apoio ao Trabalho (CAT) realiza sobretudo atendimentos relacionados à intermediação de mão de obra. Porém, dentro da perspectiva de geração de renda, a formalização de micro empreendedores individuais se configura em uma nova modalidade de formalização de agentes econômicos, direcionada aos trabalhadores autônomos e que não se enquadram nos vínculos empregatícios estipulados pela CLT. Esta nova modalidade tem por objetivo a formalização e a promoção de cursos e palestras nos CAT. O público atendido prioritariamente nesses espaços referese àquele considerado de alta vulnerabilidade. Serão definidas diretrizes específicas para definição de público-alvo, levando em conta recortes de gênero, juventude, étnico-racial e pessoas com deficiência.","Microempreendedor Individual (MEI): é a pessoa que trabalha por conta própria e que se legaliza como pequeno empresário. É necessário faturar no máximo até R$ 60 mil por ano e não ter participação em outra empresa como sócio ou titular. O MEI também pode ter um empregado contratado que receba o salário mínimo ou o piso da categoria.",,,,,,,
7,"Ampliar em 20 mil o número de matrículas na Educação de Jovens e Adultos e implantar 3 novos Centros Integrados (CIEJA)",6,1,1,"3 CIEJAs instalados e 20.000 novas vagas de EJA abertas no município",3030198,"1 CIEJA implantado, 12.600 vagas de EJA criadas","2 CIEJAs implantados, 7.400 vagas de EJA criadas","Está em elaboração uma proposta de reorientação curricular que articule a educação escolar com o mundo do trabalho, da cultura e a pratica social, bem como os diferentes atendimentos oferecidos na modalidade EJA: Noturno, modular, CIEJA, CMCT e MOVA. O custo da meta apresentado refere-se à instalação dos 3 novos CIEJAs e o custo das 20 mil novas vagas no período de 1 ano.","EJA: Educação de Jovens e Adultos
CIEJA: Centro Integrado de Educação de Jovens e Adultos
MOVA: Movimento de Alfabetização
CMCT: Centro Municipal de Capacitação eTreinamento",,,,,,,
8,"Implantar 5 Centros de Referência Especializados para a população em situação de rua (Centros POP)",5,1,1,"5 Centros PopRua em funcionamento",1000000,"5 Centros PopRua",,"Os Centros PopRua fazem parte do Plano Municipal da Política da População em Situação de Rua. O conjunto integrado de ações e entregas desse Plano, incluindo a implantação dos 5 Centros PopRua serão monitorados pelo Comitê Intersetorial criado pelo Decreto n. 53.795/2013.","População em situação de rua: grupo populacional heterogêneo que possui em comum a pobreza extrema, os vínculos familiares interrompidos ou fragilizados e a inexistência de moradia convencional regular, e que utiliza os logradouros públicos e as áreas degradadas como espaço de moradia e de sustento, de forma temporária ou permanente, bem como as unidades de acolhimento para pernoite temporário ou como moradia provisória (definição dada pelo Decreto
Presidencial nº 7053/2009).
Centros PopRua: Centro de Referência Especializado com rede de atendimento socioassistencial voltado à população adulta, oferecendo: abordagens sistemáticas nas ruas e encaminhamentos para os núcleos de serviços de convivência e centros de acolhida.",,,,,,,
9,"Implantar 2 restaurantes comunitários",5,1,1,"2 Restaurantes comunitários implantados",620000,"2 restaurante comunitário",,"A implantação dos restaurantes comunitários visa garantir segurança alimentar à população em situação de rua e faz parte do Plano Municipal da Política da População em Situação de Rua. Essa ação, assim como o conjunto integrado de ações e entregas do Plano será monitorada pelo Comitê Intersetorial criado pelo Decreto n. 53.795/2013.","Restaurante comunitário: tem a finalidade de servir refeições adequadas para pessoas adultas em situação de rua de forma continuada. Deverá oferecer refeições prontas, saudáveis e de qualidade. Com atendimento prioritário aos grupos da população que se encontram em situação de insegurança alimentar contribui para a
melhoria da saúde e qualidade de vida.",,,,,,,
10,"Implantar 22 Serviços de Acolhimento Institucional à população em situação de rua",5,1,1,"22 Serviços de Acolhimento Institucional implantados",6763025,"13 Serviços de Acolhimento","9 Serviços de Acolhimento","A implantação dos serviços de acolhimento compõe o Plano Municipal da Política da População em Situação de Rua e será monitorado em conjunto com as demais ações do Plano pelo Comitê Intersetorial criado pelo Decreto n. 53.795/2013, em consonância com a Politica Nacional de População de Rua. O atendimento prestado deve ser personalizado e em pequenos grupos e favorecer o convívio familiar e comunitário, bem como a utilização de serviços disponíveis na comunidade local. As regras de gestão e de convivência deverão ser construídas de forma participativa e coletiva, a fim de assegurar a autonomia dos usuários, conforme perfis. Serão 12 serviços para atendimento às famílias, 8 para atendimento a adultos de ambos os sexos e 2 para carroceiros.","Serviço de Acolhimento Institucional: acolhimento em diferentes tipos de equipamentos, destinado a famílias e/ou indivíduos com vínculos familiares rompidos ou fragilizados, a fim de garantir proteção integral. A organização do serviço deverá garantir privacidade, o respeito aos costumes, às tradições e à diversidade de: ciclos de vida, arranjos, raça/etnia, gênero e orientação sexual.",,,,,,,
