name,description
Desenvolvimento Social,"Superar a extrema pobreza na cidade de São Paulo, elevando a renda, promovendo a inclusão produtiva e o acesso a serviços públicos para todos"
Educação,Melhorar a qualidade da Educação e ampliar o acesso à Educação Infantil com a expansão da rede de equipamentos e a criação de 150 mil novas vagas
Saúde,"Ampliar o acesso, aperfeiçoar a qualidade, reduzir as desigualdades regionais e o tempo de espera e fortalecer a atenção integral das ações e serviços de saúde"
Cultura,"Ampliar o acesso da população à cultura, por meio de equipamentos e ações, a partir da sua descentralização no território"
Habitação,Garantir acesso a moradia adequada
Segurança,Implantar um Programa Territorializado de Prevenção e Proteção às Vítimas da Violência
Esporte e Lazer,"Promover a prática de atividades esportivas, recreativas e de lazer"
Pessoas com Deficiência,"Promover, ampliar e qualificar ações voltadas à efetivação dos direitos das pessoas com deficiência"
Direitos Humanos e Cidadania,"Promover uma cultura de cidadania e valorização da diversidade, reduzindo as manifestações de discriminação de todas as naturezas"
População Idosa,Promover a inclusão e a garantia dos direitos da população idosa
Espaços Públicos,Requalificar e promover a ocupação dos espaços públicos
Desenvolvimento Econômico,Promover o crescimento econômico e a geração de postos de trabalho na cidade de São Paulo
Tecnologia e Inovação,Promover a cidade de São Paulo como centro de tecnologia e Inovação
Meio Ambiente,"Proteger os recursos naturais da cidade, conservando as áreas de mananciais, ampliando o sistema de áreas verdes, preservando os recursos hídricos e monitorando as áreas de risco"
Resíduos Sólidos,Ampliar a coleta seletiva de resíduos secos e orgânicos com a inclusão de catadores de materiais recicláveis e reutilizáveis
Mobilidade,"Melhorar a mobilidade urbana universal, dando prioridade aos meios públicos de transporte"
Drenagem,Reduzir a ocorrência de enchentes e alagamentos
Atendimento ao Cidadão,"Aproximar a Prefeitura do cidadão, descentralizando e modernizando a gestão, aumentando a qualidade dos espaços e serviços e reduzindo o tempo de espera no atendimento"
Participação e Transparência,"Promover a participação, a transparência e o controle social na administração pública municipal"
Desenvolvimento Urbano,Realizar o marco regulatório do desenvolvimento urbano de forma participativa
