acronym,name
SECOM,Secretaria Executiva de Comunicação
SMADS,Secretaria Municipal de Assistência Social
SMSP,Secretaria Municipal de Coordenação das Subprefeituras
SMC,Secretaria Municipal de Cultura
SDTE,"Secretaria Municipal de Desenvolvimento, Trabalho e Empreendedorismo"
SMDU,Secretaria Municipal de Desenvolvimento Urbano
SMDHC,Secretaria Municipal de Direitos Humanos e Cidadania
SME,Secretaria Municipal de Educação
SEME,Secretaria Municipal de Esportes
SF,Secretaria Municipal de Finanças e Desenvolvimento Econômico
SEHAB,Secretaria Municipal de Habitação
SIURB,Secretaria Municipal de Infraestrutura e Obras
SMPED,Secretaria Municipal da Pessoa com Deficiência e Mobilidade Reduzida
SEMPLA,"Secretaria Municipal de Planejamento, Orçamento e Gestão"
SMPM,Secretaria Municipal de Políticas para as Mulheres
SMPIR,Secretaria Municipal de Promoção de Igualdade Racial
SMRG,Secretaria Municipal de Relações Governamentais
SMS,Secretaria Municipal de Saúde
SMSU,Secretaria Municipal de Segurança Urbana
SES,Secretaria Municipal de Serviços
SMT,Secretaria Municipal de Tranportes
SVMA,Secretaria Municipal do Verde e Meio Ambiente
